1074,1075,1076,1077,1078,1079,1080,1081,1082,1083,1084,1085,1086,1087,1088,1089,1091,1092,1093,1094,1095,1096
0,37,18,58,38,44,40,44,25,24,31,37,35,44,36,34,31,43,37,40,23,40
44,34,26,20,33,12,30,0,29,37,38,11,20,23,19,30,33,15,15,18,37,30
27,11,27,12,18,25,14,27,27,16,33,33,34,12,30,25,3,14,29,31,58,10
8,8,6,0,4,8,6,7,10,10,14,12,6,16,10,0,0,18,6,4,14,6
0,6,18,22,0,4,9,6,0,8,8,8,6,0,6,6,22,1,8,8,2,11
9,0,4,12,6,8,2,0,10,0,0,0,0,0,0,1,0,0,0,1,2,0
0,0,0,5,1,0,1,8,1,2,0,1,1,4,1,0,12,8,4,0,1,5
10,2,0,3,0,0,0,0,0,5,13,0,0,0,0,0,0,0,2,0,1,0
4,4,2,6,0,1,0,10,0,0,0,0,0,2,0,4,1,0,1,0,0,0
0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,2,0,2,0,0,0,0
